,dataset,rewiring,layer_type,num_iterations,batch_add,batch_remove,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,imdb,brf,GCN,1,3,0,0.1,0.001,54.6,0.021391587131393497,53.7,0.03046965703778104,51.31249999999999,0.015187371398632474,0.0,0.0,False,186.4069788455963,161.5671775341034
0,imdb,brf,GCN,1,3,0,0.1,0.001,54.6,0.021391587131393497,53.7,0.03046965703778104,51.31249999999999,0.015187371398632474,0.0,0.0,False,186.4069788455963,161.5671775341034
1,proteins,brf,GCN,1,3,0,0.1,0.001,63.124999999999986,0.0344462387982627,67.65765765765765,0.03375193694147575,63.49438202247192,0.011451637768232147,0.0,0.0,False,381.85020637512207,202.45857739448547
0,imdb,brf,GCN,1,3,1,0.1,0.001,51.0,0.03046309242345563,47.599999999999994,0.02579922479455537,50.175000000000004,0.005340880077290636,0.0,0.0,False,221.31297183036804,156.3036608695984
0,imdb,brf,GCN,1,3,1,0.1,0.001,51.0,0.03046309242345563,47.599999999999994,0.02579922479455537,50.175000000000004,0.005340880077290636,0.0,0.0,False,221.31297183036804,156.3036608695984
1,proteins,brf,GCN,1,3,1,0.1,0.001,72.85714285714285,0.021606404946077393,73.06306306306307,0.021986412195721228,71.21348314606742,0.006290529490235042,0.0,0.0,False,587.9204683303833,200.1077218055725
0,imdb,brf,GCN,2,3,1,0.1,0.001,51.800000000000004,0.02379915964902963,50.1,0.024404917537250576,50.212500000000006,0.004730882581506329,0.0,0.0,False,487.87569856643677,153.73780465126038
0,imdb,brf,GCN,2,3,1,0.1,0.001,51.800000000000004,0.02379915964902963,50.1,0.024404917537250576,50.212500000000006,0.004730882581506329,0.0,0.0,False,487.87569856643677,153.73780465126038
1,proteins,brf,GCN,2,3,1,0.1,0.001,74.91071428571429,0.01811422093273679,73.42342342342343,0.027355362974214377,70.37078651685394,0.003568012866948446,0.0,0.0,False,1151.6947808265686,212.19394278526306
