,cornell,wisconsin,texas,chameleon,cora,citeseer,mutag,enzymes,proteins,imdb
mean,-0.5864299165994081,-0.30984219521293666,-0.19701803051317612,0.641809705765686,-0.3979868832753277,-0.2416878947315453,-0.2716801215548438,0.1320882728809631,0.17458144801924522,0.5789613723924302
std,0.7047852754288031,0.7848510707238981,0.6843662010852873,0.583159669452394,0.519735336441278,0.45198767678772356,0.05006220360602273,0.15789802746109385,0.20229959702728592,0.19403463650062203
