,dataset,rewiring,layer_type,num_iterations,brf_batch_add,brf_batch_remove,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration,dummy
0,mutag,sdrf_bfc,GIN,5,4,2,0.1,0.001,74.55,0.02417002275547129,83.11111111111113,0.026430435131389114,79.02666666666666,0.019403019238138055,0.0,0.0,False,0.9009385108947754,654.025764465332
0,mutag,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,73.30000000000001,0.02616180421912831,85.88888888888887,0.02385242695418934,80.18666666666667,0.018232162058662526,0.0,0.0,False,0.91802978515625,929.234454870224
0,mutag,sdrf_bfc,GIN,5,4,2,0.1,0.001,74.55,0.02417002275547129,83.11111111111113,0.026430435131389114,79.02666666666666,0.019403019238138055,0.0,0.0,False,0.9009385108947754,654.025764465332
1,enzymes,sdrf_bfc,GIN,5,4,2,0.1,0.001,31.63333333333333,0.013241181551843811,40.96666666666667,0.012139741897311217,47.82708333333334,0.016706021764455008,0.0,0.0,False,1.0773324966430664,2730.655868291855
0,mutag,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,73.30000000000001,0.02616180421912831,85.88888888888887,0.02385242695418934,80.18666666666667,0.018232162058662526,0.0,0.0,False,0.91802978515625,929.234454870224
1,enzymes,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,31.8,0.012024789210441719,41.26666666666667,0.012212197909376419,47.36875,0.01914479322528423,0.0,0.0,False,1.3192648887634277,2863.226623773575
0,mutag,sdrf_bfc,GIN,5,4,2,0.1,0.001,74.55,0.02417002275547129,83.11111111111113,0.026430435131389114,79.02666666666666,0.019403019238138055,0.0,0.0,False,0.9009385108947754,654.025764465332
1,enzymes,sdrf_bfc,GIN,5,4,2,0.1,0.001,31.63333333333333,0.013241181551843811,40.96666666666667,0.012139741897311217,47.82708333333334,0.016706021764455008,0.0,0.0,False,1.0773324966430664,2730.655868291855
2,imdb,sdrf_bfc,GIN,5,4,2,0.1,0.001,67.38000000000001,0.013370953593517554,71.33,0.014494288530314276,68.4575,0.0119563382772486,0.0,0.0,False,3.1471147537231445,3029.7211377620697
0,mutag,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,73.30000000000001,0.02616180421912831,85.88888888888887,0.02385242695418934,80.18666666666667,0.018232162058662526,0.0,0.0,False,0.91802978515625,929.234454870224
1,enzymes,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,31.8,0.012024789210441719,41.26666666666667,0.012212197909376419,47.36875,0.01914479322528423,0.0,0.0,False,1.3192648887634277,2863.226623773575
2,imdb,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,68.17999999999999,0.012433438784181954,72.22,0.011283900035005628,68.33375000000001,0.009918420678212837,0.0,0.0,False,3.625795364379883,3047.0777904987335
0,mutag,sdrf_bfc,GIN,5,4,2,0.1,0.001,74.55,0.02417002275547129,83.11111111111113,0.026430435131389114,79.02666666666666,0.019403019238138055,0.0,0.0,False,0.9009385108947754,654.025764465332
1,enzymes,sdrf_bfc,GIN,5,4,2,0.1,0.001,31.63333333333333,0.013241181551843811,40.96666666666667,0.012139741897311217,47.82708333333334,0.016706021764455008,0.0,0.0,False,1.0773324966430664,2730.655868291855
2,imdb,sdrf_bfc,GIN,5,4,2,0.1,0.001,67.38000000000001,0.013370953593517554,71.33,0.014494288530314276,68.4575,0.0119563382772486,0.0,0.0,False,3.1471147537231445,3029.7211377620697
3,proteins,sdrf_bfc,GIN,5,4,2,0.1,0.001,70.94642857142857,0.00814183890876788,75.9099099099099,0.007630029651818056,74.61573033707865,0.004254933790070545,0.0,0.0,False,2.4242987632751465,3766.696151971817
0,mutag,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,77.29999999999998,0.02299652147608416,83.94444444444444,0.02801652951252039,79.25333333333333,0.01940930361106927,0.0,0.0,False,0.9492435455322266,964.1760427951813
0,mutag,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,73.30000000000001,0.02616180421912831,85.88888888888887,0.02385242695418934,80.18666666666667,0.018232162058662526,0.0,0.0,False,0.91802978515625,929.234454870224
1,enzymes,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,31.8,0.012024789210441719,41.26666666666667,0.012212197909376419,47.36875,0.01914479322528423,0.0,0.0,False,1.3192648887634277,2863.226623773575
2,imdb,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,68.17999999999999,0.012433438784181954,72.22,0.011283900035005628,68.33375000000001,0.009918420678212837,0.0,0.0,False,3.625795364379883,3047.0777904987335
3,proteins,sdrf_bfc,GIN,5,4,2,True,0.1,0.001,70.7232142857143,0.00809027114779832,75.78378378378378,0.007738439831037403,73.68314606741572,0.0034828676945666956,0.0,0.0,False,2.3555614948272705,3635.0560071468353
0,mutag,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,75.0,0.0282842712474619,81.77777777777776,0.031586838953300285,78.05333333333333,0.024178359470126726,0.0,0.0,False,0.9385476112365723,943.7908923625946
0,mutag,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,77.29999999999998,0.02299652147608416,83.94444444444444,0.02801652951252039,79.25333333333333,0.01940930361106927,0.0,0.0,False,0.9492435455322266,964.1760427951813
1,enzymes,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,30.9,0.011396100697655804,39.65000000000001,0.010470010081710102,44.164583333333326,0.019004613383626384,0.0,0.0,False,1.2926666736602783,2693.664179086685
0,mutag,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,75.0,0.0282842712474619,81.77777777777776,0.031586838953300285,78.05333333333333,0.024178359470126726,0.0,0.0,False,0.9385476112365723,943.7908923625946
1,enzymes,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,31.25,0.012947543739601303,40.033333333333324,0.01046666666666667,46.03125,0.01798855490690925,0.0,0.0,False,1.7409958839416504,2804.083901643753
0,mutag,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,77.29999999999998,0.02299652147608416,83.94444444444444,0.02801652951252039,79.25333333333333,0.01940930361106927,0.0,0.0,False,0.9492435455322266,964.1760427951813
1,enzymes,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,30.9,0.011396100697655804,39.65000000000001,0.010470010081710102,44.164583333333326,0.019004613383626384,0.0,0.0,False,1.2926666736602783,2693.664179086685
2,imdb,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,66.86,0.014164801445837493,71.77,0.011502538850184336,68.315,0.010332199668995951,0.0,0.0,False,3.5592596530914307,3284.506320476532
0,mutag,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,75.0,0.0282842712474619,81.77777777777776,0.031586838953300285,78.05333333333333,0.024178359470126726,0.0,0.0,False,0.9385476112365723,943.7908923625946
1,enzymes,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,31.25,0.012947543739601303,40.033333333333324,0.01046666666666667,46.03125,0.01798855490690925,0.0,0.0,False,1.7409958839416504,2804.083901643753
2,imdb,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,67.99,0.012891842381909577,71.31,0.012015639808183333,67.96000000000001,0.009617099354795083,0.0,0.0,False,4.7254743576049805,3196.6821551322937
0,mutag,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,77.29999999999998,0.02299652147608416,83.94444444444444,0.02801652951252039,79.25333333333333,0.01940930361106927,0.0,0.0,False,0.9492435455322266,964.1760427951813
1,enzymes,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,30.9,0.011396100697655804,39.65000000000001,0.010470010081710102,44.164583333333326,0.019004613383626384,0.0,0.0,False,1.2926666736602783,2693.664179086685
2,imdb,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,66.86,0.014164801445837493,71.77,0.011502538850184336,68.315,0.010332199668995951,0.0,0.0,False,3.5592596530914307,3284.506320476532
3,proteins,sdrf_bfc,GIN,10,4,2,True,0.1,0.001,71.43750000000001,0.00754448964341471,75.56756756756758,0.007692153357632138,74.30112359550563,0.0031299878008355917,0.0,0.0,False,2.7597084045410156,3661.3915050029755
0,mutag,sdrf_bfc,GIN,15,4,2,True,0.1,0.001,73.3,0.030073908957766033,81.2222222222222,0.029722170301096907,75.48666666666665,0.0280284648963236,0.0,0.0,False,0.9262878894805908,894.7709171772003
