,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,pubmed,borf,10,3,3,0.765451318458418,0.024691568490267775,1467.8248646259308,884.2058656215668
0,pubmed,borf,2,20,10,0.7638286004056793,0.021441345335148,1579.9798312187195,74.18089389801025
0,pubmed,borf,3,20,10,0.7904614604462477,0.016248137424560796,1347.3953964710236,73.52944016456604
0,pubmed,borf,15,3,3,0.769510649087221,0.02378280076129553,1414.3748548030853,515.9330365657806
0,pubmed,borf,1,20,20,0.7827789046653144,0.01992011641791854,1257.679547548294,74.35562372207642
0,pubmed,borf,20,3,3,0.7731313387423936,0.021139711446000402,1462.155366897583,481.0487473011017
0,pubmed,borf,2,20,20,0.776965010141988,0.020651076388277446,1266.8972074985504,75.96382284164429
0,pubmed,borf,3,20,20,0.7837474645030426,0.018230381106724616,1225.664118528366,70.97497129440308
0,pubmed,borf,30,3,3,0.7626217038539553,0.022075670957914826,1440.6769268512726,946.8176906108856
0,pubmed,borf,1,20,30,0.7728321501014197,0.02123673570423433,1273.2827298641205,74.85883140563965
0,pubmed,borf,5,4,1,0.7814122718052738,0.018100582859406376,1460.0518944263458,414.79085326194763
0,pubmed,borf,2,20,30,0.7714097363083166,0.02318710547445104,1371.857670545578,71.77370595932007
0,pubmed,borf,3,20,30,0.7672515212981743,0.02082588848075098,1206.2088825702667,73.53434944152832
0,pubmed,borf,10,4,1,0.7973073022312375,0.016027874318342916,1490.6048283576965,864.2390723228455
0,pubmed,borf,1,30,10,0.788788032454361,0.01689643146262377,1389.6356949806213,76.15318489074707
0,pubmed,borf,2,30,10,0.7583848884381337,0.02478852068391754,1402.0503697395325,72.45041251182556
0,pubmed,borf,15,4,1,0.7766049695740365,0.022130696199572652,1501.3480184078217,525.2319796085358
0,pubmed,borf,3,30,10,0.7733620689655173,0.022310559141632887,1345.748254776001,73.24949097633362
0,pubmed,borf,20,4,1,0.7992063894523325,0.0157423307423034,1450.1303327083588,488.41339468955994
0,pubmed,borf,1,30,20,0.7793230223123733,0.020992544583705447,1156.809329509735,73.36931538581848
0,pubmed,borf,2,30,20,0.7709787018255576,0.02288341797794859,1345.2136373519897,76.03538942337036
0,pubmed,borf,30,4,1,0.7878853955375255,0.019581417199341363,1503.9458003044128,1000.9784457683563
0,pubmed,borf,3,30,20,0.7677865111561866,0.018518278844550852,1272.0370681285858,75.94654750823975
0,pubmed,borf,5,4,2,0.8034837728194728,0.012966188979938212,1525.9487512111664,433.0172824859619
0,pubmed,borf,1,30,30,0.7797134888438133,0.020411020364083557,1377.8036563396454,74.76172614097595
0,pubmed,borf,2,30,30,0.8000228194726167,0.013748330145515552,1345.597941160202,76.38102769851685
0,pubmed,borf,10,4,2,0.7516404665314401,0.02698814638788291,1425.8292319774628,851.3496897220612
