,dataset,rewiring,layer_type,num_iterations,brf_batch_add,brf_batch_remove,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,fosr,GCN,5,4,2,0.1,0.001,74.69999999999999,0.016722440013347335,84.05555555555556,0.016529435024289916,76.39333333333333,0.009679476569870223,0.0,0.0,False,3.8193209171295166,801.1400806903839
0,mutag,fosr,GCN,5,4,2,0.1,0.001,74.69999999999999,0.016722440013347335,84.05555555555556,0.016529435024289916,76.39333333333333,0.009679476569870223,0.0,0.0,False,3.8193209171295166,801.1400806903839
1,enzymes,fosr,GCN,5,4,2,0.1,0.001,20.833333333333332,0.012096831541082704,27.46666666666666,0.009085764200721427,25.24791666666667,0.00583086108325539,0.0,0.0,False,0.04757189750671387,1909.8068079948425
0,mutag,fosr,GCN,5,4,2,0.1,0.001,74.69999999999999,0.016722440013347335,84.05555555555556,0.016529435024289916,76.39333333333333,0.009679476569870223,0.0,0.0,False,3.8193209171295166,801.1400806903839
1,enzymes,fosr,GCN,5,4,2,0.1,0.001,20.833333333333332,0.012096831541082704,27.46666666666666,0.009085764200721427,25.24791666666667,0.00583086108325539,0.0,0.0,False,0.04757189750671387,1909.8068079948425
2,imdb,fosr,GCN,5,4,2,0.1,0.001,49.63,0.008684031321914957,52.349999999999994,0.008006872048434395,49.92,0.0025058731013361383,0.0,0.0,False,0.07447624206542969,2337.5527307987213
0,mutag,fosr,GCN,5,4,2,0.1,0.001,74.69999999999999,0.016722440013347335,84.05555555555556,0.016529435024289916,76.39333333333333,0.009679476569870223,0.0,0.0,False,3.8193209171295166,801.1400806903839
1,enzymes,fosr,GCN,5,4,2,0.1,0.001,20.833333333333332,0.012096831541082704,27.46666666666666,0.009085764200721427,25.24791666666667,0.00583086108325539,0.0,0.0,False,0.04757189750671387,1909.8068079948425
2,imdb,fosr,GCN,5,4,2,0.1,0.001,49.63,0.008684031321914957,52.349999999999994,0.008006872048434395,49.92,0.0025058731013361383,0.0,0.0,False,0.07447624206542969,2337.5527307987213
3,proteins,fosr,GCN,5,4,2,0.1,0.001,70.12499999999999,0.008350653768858279,73.88288288288288,0.007209436592132285,71.08988764044946,0.002864705844992826,0.0,0.0,False,0.10371851921081543,2912.7091488838196
0,mutag,fosr,GCN,10,4,2,0.1,0.001,70.64999999999999,0.02193877845277626,82.94444444444444,0.017231538698732795,76.44,0.008141460420451467,0.0,0.0,False,3.8196229934692383,829.3075306415558
0,mutag,fosr,GCN,10,4,2,0.1,0.001,70.64999999999999,0.02193877845277626,82.94444444444444,0.017231538698732795,76.44,0.008141460420451467,0.0,0.0,False,3.8196229934692383,829.3075306415558
1,enzymes,fosr,GCN,10,4,2,0.1,0.001,20.7,0.011117353801852109,28.200000000000003,0.009895902631336306,25.402083333333337,0.004378472828002425,0.0,0.0,False,0.061003684997558594,1920.3945491313934
0,mutag,fosr,GCN,10,4,2,0.1,0.001,70.64999999999999,0.02193877845277626,82.94444444444444,0.017231538698732795,76.44,0.008141460420451467,0.0,0.0,False,3.8196229934692383,829.3075306415558
1,enzymes,fosr,GCN,10,4,2,0.1,0.001,20.7,0.011117353801852109,28.200000000000003,0.009895902631336306,25.402083333333337,0.004378472828002425,0.0,0.0,False,0.061003684997558594,1920.3945491313934
2,imdb,fosr,GCN,10,4,2,0.1,0.001,48.85,0.008994998610338971,51.61,0.010884465995169446,49.96,0.0017094882275113792,0.0,0.0,False,0.08492136001586914,2299.153097629547
0,mutag,fosr,GCN,10,4,2,0.1,0.001,70.64999999999999,0.02193877845277626,82.94444444444444,0.017231538698732795,76.44,0.008141460420451467,0.0,0.0,False,3.8196229934692383,829.3075306415558
1,enzymes,fosr,GCN,10,4,2,0.1,0.001,20.7,0.011117353801852109,28.200000000000003,0.009895902631336306,25.402083333333337,0.004378472828002425,0.0,0.0,False,0.061003684997558594,1920.3945491313934
2,imdb,fosr,GCN,10,4,2,0.1,0.001,48.85,0.008994998610338971,51.61,0.010884465995169446,49.96,0.0017094882275113792,0.0,0.0,False,0.08492136001586914,2299.153097629547
3,proteins,fosr,GCN,10,4,2,0.1,0.001,71.07142857142857,0.008352868259661786,74.81981981981981,0.006867559944828442,71.55505617977529,0.0028281985846002945,0.0,0.0,False,0.1437375545501709,3286.5694103240967
0,mutag,fosr,GCN,15,4,2,0.1,0.001,75.3,0.021062763351469345,82.16666666666667,0.020141168453361055,76.32000000000001,0.013803033483018628,0.0,0.0,False,3.8169965744018555,796.8381063938141
0,mutag,fosr,GCN,15,4,2,0.1,0.001,75.3,0.021062763351469345,82.16666666666667,0.020141168453361055,76.32000000000001,0.013803033483018628,0.0,0.0,False,3.8169965744018555,796.8381063938141
1,enzymes,fosr,GCN,15,4,2,0.1,0.001,21.999999999999996,0.011005049346146118,29.96666666666667,0.010284616343516819,27.152083333333334,0.0063330742819827325,0.0,0.0,False,0.07206201553344727,2071.914374113083
0,mutag,fosr,GCN,15,4,2,0.1,0.001,75.3,0.021062763351469345,82.16666666666667,0.020141168453361055,76.32000000000001,0.013803033483018628,0.0,0.0,False,3.8169965744018555,796.8381063938141
1,enzymes,fosr,GCN,15,4,2,0.1,0.001,21.999999999999996,0.011005049346146118,29.96666666666667,0.010284616343516819,27.152083333333334,0.0063330742819827325,0.0,0.0,False,0.07206201553344727,2071.914374113083
2,imdb,fosr,GCN,15,4,2,0.1,0.001,48.06,0.008327400554794997,52.0,0.008662563131083085,50.0125,0.001538871339651238,0.0,0.0,False,0.10321998596191406,2313.86802983284
