,dataset,rewiring,layer_type,num_iterations,brf_batch_add,brf_batch_remove,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
1,enzymes,sdrf_bfc,GCN,10,4,2,0.1,0.001,25.049999999999994,0.013674428690076965,30.13333333333333,0.009805667295554705,27.0625,0.004972319210723839,0.0,0.0,False,1.7259161472320557,1847.5754866600037
0,mutag,sdrf_bfc,GCN,10,4,2,0.1,0.001,68.45,0.017532541173486516,74.55555555555556,0.024402995161240067,69.88666666666668,0.006798836501768356,0.0,0.0,False,0.9075760841369629,750.5331490039825
1,enzymes,sdrf_bfc,GCN,10,4,2,0.1,0.001,25.049999999999994,0.013674428690076965,30.13333333333333,0.009805667295554705,27.0625,0.004972319210723839,0.0,0.0,False,1.7259161472320557,1847.5754866600037
2,imdb,sdrf_bfc,GCN,10,4,2,0.1,0.001,49.03,0.009114625609425766,50.6,0.009252026804976303,50.04625,0.0016269814842216237,0.0,0.0,False,4.356943607330322,2306.064938545227
0,mutag,sdrf_bfc,GCN,10,4,2,0.1,0.001,68.45,0.017532541173486516,74.55555555555556,0.024402995161240067,69.88666666666668,0.006798836501768356,0.0,0.0,False,0.9075760841369629,750.5331490039825
1,enzymes,sdrf_bfc,GCN,10,4,2,0.1,0.001,25.049999999999994,0.013674428690076965,30.13333333333333,0.009805667295554705,27.0625,0.004972319210723839,0.0,0.0,False,1.7259161472320557,1847.5754866600037
2,imdb,sdrf_bfc,GCN,10,4,2,0.1,0.001,49.03,0.009114625609425766,50.6,0.009252026804976303,50.04625,0.0016269814842216237,0.0,0.0,False,4.356943607330322,2306.064938545227
3,proteins,sdrf_bfc,GCN,10,4,2,0.1,0.001,70.14285714285715,0.007817758434409157,72.91891891891893,0.007601041368387492,70.81460674157304,0.003083711907980834,0.0,0.0,False,3.404207468032837,2993.4005420207977
0,mutag,sdrf_bfc,GCN,15,4,2,0.1,0.001,69.0,0.020199009876724155,72.22222222222221,0.024595492912420726,68.77333333333334,0.007394219964870457,0.0,0.0,False,0.9124345779418945,707.1377205848694
0,mutag,sdrf_bfc,GCN,15,4,2,0.1,0.001,69.0,0.020199009876724155,72.22222222222221,0.024595492912420726,68.77333333333334,0.007394219964870457,0.0,0.0,False,0.9124345779418945,707.1377205848694
1,enzymes,sdrf_bfc,GCN,15,4,2,0.1,0.001,23.633333333333333,0.011826335959299574,30.099999999999998,0.00994227785212669,27.304166666666664,0.005813006250355033,0.0,0.0,False,1.4328978061676025,1887.5337476730347
