,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,actor,sdrf,25,4,2,0.26474342105263154,0.0023321858987829414,378.93326783180237,106.09963750839233
0,actor,sdrf,50,4,2,0.26394736842105265,0.0027522340459647174,382.8898663520813,211.96841478347778
0,actor,sdrf,75,4,2,0.2654013157894737,0.002277881648833886,379.1534185409546,334.267037153244
0,actor,sdrf,100,4,2,0.26653947368421055,0.002219672494621561,374.61808371543884,415.89832282066345
0,actor,sdrf,125,4,2,0.2656118421052631,0.0020480596012308594,368.29507398605347,518.2656805515289
0,actor,sdrf,150,4,2,0.26635526315789476,0.002617661884127167,377.38657689094543,630.0378823280334
0,actor,sdrf,175,4,2,0.26515131578947365,0.002547706521168704,383.5958914756775,741.1401031017303
0,actor,sdrf,200,4,2,0.2659605263157895,0.0023135919597527758,381.91320991516113,855.0695760250092
0,pubmed,sdrf,25,4,2,0.8476774847870184,0.0010155194241377534,1827.3258299827576,1859.6652293205261
0,squirrel,sdrf,25,4,2,0.38924111431316044,0.0033900856868569113,3824.7988340854645,52.611921072006226
0,pubmed,sdrf,50,4,2,0.8473580121703855,0.001046911084306598,1406.9652981758118,3738.561793088913
0,squirrel,sdrf,50,4,2,0.3890585975024016,0.0033624805657817953,4249.946794748306,88.02281355857849
0,pubmed,sdrf,75,4,2,0.846713995943205,0.0011325317630489352,1543.2356643676758,5562.836010217667
0,squirrel,sdrf,75,4,2,0.39223823246878003,0.003321880959590241,4057.573643684387,129.6746711730957
0,pubmed,sdrf,100,4,2,0.8466480730223123,0.001154303027807728,1251.1332762241364,7480.9580001831055
0,squirrel,sdrf,100,4,2,0.3883189241114313,0.003301958218345222,3938.060608148575,175.48842072486877
0,pubmed,sdrf,125,4,2,0.8466176470588236,0.0009604098341463368,4242.633051633835,9307.986768245697
0,squirrel,sdrf,125,4,2,0.39006724303554274,0.0030719037261566747,7805.408266782761,260.0404598712921
0,pubmed,sdrf,150,4,2,0.8478346855983772,0.001167849348103015,4804.157189130783,11250.004860162735
0,squirrel,sdrf,150,4,2,0.3913640730067243,0.0035002351364185344,8308.871638536453,399.239773273468
0,pubmed,sdrf,175,4,2,0.8483950304259635,0.0010052663182174993,3338.6614866256714,13147.998500585556
0,squirrel,sdrf,175,4,2,0.39416906820365033,0.003450846567226975,8962.453482151031,294.32205986976624
0,pubmed,sdrf,200,4,2,0.8474797160243406,0.0010873095503056139,4394.895777225494,14971.126689434052
0,squirrel,sdrf,200,4,2,0.3951392891450528,0.0033661806518283043,5709.746030092239,354.4671323299408
