,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,pt_func,borf,GCN,1,30,20,False,0.1,0.001,62.904411764705884,0.003090094853305015,63.39834406623734,0.0030641288250563585,63.14164175672568,0.0009269767950329976,0.0,0.0,True,24575.633509159088,39515.331149578094
0,pt_func,borf,GCN,2,30,20,False,0.1,0.001,63.3735294117647,0.0026966504517956257,63.377184912603504,0.0028052808247603614,63.139917222349965,0.0010595278475161918,0.0,0.0,True,39937.59516072273,39183.284140348434
