,dataset,rewiring,layer_type,num_iterations,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,fosr,R-GCN,10,0.1,0.001,90.0,0.0,83.33333333333334,0.0,81.33333333333333,0.0,0.5411361318368698,0.0,False,3.710178852081299,6.867661714553833
0,mutag,fosr,R-GCN,10,0.1,0.001,90.0,0.0,83.33333333333334,0.0,81.33333333333333,0.0,0.5411361318368698,0.0,False,3.710178852081299,6.867661714553833
1,enzymes,fosr,R-GCN,10,0.1,0.001,38.333333333333336,0.0,35.0,0.0,36.666666666666664,0.0,0.2533557997014777,0.0,False,0.05845975875854492,19.452174186706543
