,dataset,rewiring,layer_type,num_iterations,brf_batch_add,brf_batch_remove,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,brf,GIN,1,3,0,0.1,0.001,65.5,0.06074537019394975,71.1111111111111,0.07503085784948502,67.6,0.01568580391450958,0.0,0.0,False,0.357083797454834,76.36768245697021
0,mutag,brf,GIN,1,3,0,0.1,0.001,65.5,0.06074537019394975,71.1111111111111,0.07503085784948502,67.6,0.01568580391450958,0.0,0.0,False,0.357083797454834,76.36768245697021
1,enzymes,brf,GIN,1,3,0,0.1,0.001,25.999999999999996,0.023190036174568104,25.33333333333333,0.028205594401741575,21.229166666666668,0.01876804687050129,0.0,0.0,False,1.0094902515411377,224.9656081199646
0,mutag,brf,GIN,1,3,0,0.1,0.001,65.5,0.06074537019394975,71.1111111111111,0.07503085784948502,67.6,0.01568580391450958,0.0,0.0,False,0.357083797454834,76.36768245697021
1,enzymes,brf,GIN,1,3,0,0.1,0.001,25.999999999999996,0.023190036174568104,25.33333333333333,0.028205594401741575,21.229166666666668,0.01876804687050129,0.0,0.0,False,1.0094902515411377,224.9656081199646
2,imdb,brf,GIN,1,3,0,0.1,0.001,58.20000000000001,0.03586641883433583,54.79999999999999,0.03271696807468564,52.275000000000006,0.014516370069683386,0.0,0.0,False,2.114161491394043,278.3119287490845
0,mutag,brf,GIN,1,3,0,0.1,0.001,65.5,0.06074537019394975,71.1111111111111,0.07503085784948502,67.6,0.01568580391450958,0.0,0.0,False,0.357083797454834,76.36768245697021
1,enzymes,brf,GIN,1,3,0,0.1,0.001,25.999999999999996,0.023190036174568104,25.33333333333333,0.028205594401741575,21.229166666666668,0.01876804687050129,0.0,0.0,False,1.0094902515411377,224.9656081199646
2,imdb,brf,GIN,1,3,0,0.1,0.001,58.20000000000001,0.03586641883433583,54.79999999999999,0.03271696807468564,52.275000000000006,0.014516370069683386,0.0,0.0,False,2.114161491394043,278.3119287490845
3,proteins,brf,GIN,1,3,0,0.1,0.001,63.57142857142858,0.025604926184192744,64.41441441441441,0.026633775674044118,62.23595505617978,0.015199552149895053,0.0,0.0,False,2.6597847938537598,295.61379170417786
0,mutag,brf,GIN,2,3,0,0.1,0.001,68.0,0.10019980039900277,62.22222222222222,0.08720629720154925,64.8,0.06766715927571103,0.0,0.0,False,0.4619483947753906,67.47990608215332
0,mutag,brf,GIN,1,3,1,0.1,0.001,80.0,0.0916515138991168,77.77777777777777,0.12957670877434,75.73333333333335,0.1021928460205399,0.0,0.0,False,0.3905162811279297,89.38849425315857
0,mutag,brf,GIN,1,3,1,0.1,0.001,80.0,0.0916515138991168,77.77777777777777,0.12957670877434,75.73333333333335,0.1021928460205399,0.0,0.0,False,0.3905162811279297,89.38849425315857
1,enzymes,brf,GIN,1,3,1,0.1,0.001,40.33333333333334,0.022010098692292243,41.833333333333336,0.031073389830457116,47.770833333333336,0.036500808590739155,0.0,0.0,False,1.1278884410858154,312.5272376537323
0,mutag,brf,GIN,1,3,1,0.1,0.001,80.0,0.0916515138991168,77.77777777777777,0.12957670877434,75.73333333333335,0.1021928460205399,0.0,0.0,False,0.3905162811279297,89.38849425315857
1,enzymes,brf,GIN,1,3,1,0.1,0.001,40.33333333333334,0.022010098692292243,41.833333333333336,0.031073389830457116,47.770833333333336,0.036500808590739155,0.0,0.0,False,1.1278884410858154,312.5272376537323
2,imdb,brf,GIN,1,3,1,0.1,0.001,72.2,0.038241338888694784,74.5,0.04509988913511872,69.375,0.034469189140448324,0.0,0.0,False,1.873145580291748,346.3728096485138
0,mutag,brf,GIN,1,3,1,0.1,0.001,80.0,0.0916515138991168,77.77777777777777,0.12957670877434,75.73333333333335,0.1021928460205399,0.0,0.0,False,0.3905162811279297,89.38849425315857
1,enzymes,brf,GIN,1,3,1,0.1,0.001,40.33333333333334,0.022010098692292243,41.833333333333336,0.031073389830457116,47.770833333333336,0.036500808590739155,0.0,0.0,False,1.1278884410858154,312.5272376537323
2,imdb,brf,GIN,1,3,1,0.1,0.001,72.2,0.038241338888694784,74.5,0.04509988913511872,69.375,0.034469189140448324,0.0,0.0,False,1.873145580291748,346.3728096485138
3,proteins,brf,GIN,1,3,1,0.1,0.001,73.92857142857142,0.007905694150420946,73.24324324324326,0.023360970102144784,71.30337078651687,0.019824249890646618,0.0,0.0,False,2.763535261154175,388.5839340686798
0,mutag,brf,GIN,2,3,1,0.1,0.001,83.99999999999999,0.06752777206453651,83.33333333333334,0.06849348892187751,75.66666666666666,0.05833999961909115,0.0,0.0,False,0.45450282096862793,88.62129426002502
0,mutag,brf,GIN,2,3,1,0.1,0.001,83.99999999999999,0.06752777206453651,83.33333333333334,0.06849348892187751,75.66666666666666,0.05833999961909115,0.0,0.0,False,0.45450282096862793,88.62129426002502
1,enzymes,brf,GIN,2,3,1,0.1,0.001,39.83333333333333,0.03604010112206803,41.833333333333336,0.02766867462592951,48.33333333333334,0.047133085807930915,0.0,0.0,False,1.0699450969696045,307.34138655662537
0,mutag,brf,GIN,2,3,1,0.1,0.001,83.99999999999999,0.06752777206453651,83.33333333333334,0.06849348892187751,75.66666666666666,0.05833999961909115,0.0,0.0,False,0.45450282096862793,88.62129426002502
1,enzymes,brf,GIN,2,3,1,0.1,0.001,39.83333333333333,0.03604010112206803,41.833333333333336,0.02766867462592951,48.33333333333334,0.047133085807930915,0.0,0.0,False,1.0699450969696045,307.34138655662537
